Archivo,Distrito,Mes,H01_02,H01_04,H01_05,H01_06,H01_07,H01_08,H01_09,H01_10,H01_11,H01_12,H01_13,H01_14,H01_15,H01_16,H02_01,H02_02,H02_03,H02_04,H02_05,H02_06,H02_07,H02_08,H02_09,H02_10,H02_11,H02_12,H02_13,H02_14,H02_15,H02_16,H02_17,H02_18,H02_19,H02_20,H02_21,H02_22,H02_23,H02_24,H02_25,H02_26,H03_01,H03_02,H03_03,H03_04,H03_05,H03_06,H03_07,H03_08,H03_09,H03_10,H03_11,H03_12,H03_13,H03_14,H03_15,H03_16,H03_17,H03_18,H03_19,H03_20,H03_21,H03_22,H04_01,H04_02,H04_03,H04_04,H04_05,H04_06,H04_07,H04_08,H04_09,H04_10,H04_11,H04_12,H05_01,H05_02,H05_03,H05_04,H05_05,H05_06,H05_07,H05_08,H05_09,H05_10,H05_11,H05_12,H05_13,H05_14,H05_15,H05_16,H05_17,H05_18,H05_19,H05_20,H05_21,H05_22,H05_23,H05_24,H05_25,H05_26,H05_27,H05_28,H05_29,H05_30,H05_31,H05_32,H05_33,H05_34,H05_35,H05_36,H05_37,H05_38,H05_39,H05_40,H05_510_2023,H05_51d_2023,H05_52d_2023,H05_53d_2023,H05_54d_2023,H05_55d_2023,H05_56d_2023,H05_57d_2023,H05_58d_2023,H05_59d_2023,H06_01,H06_02,H06_03,H06_04,H06_05,H06_06,H06_07,H06_08,H06_09,H06_10,H06_100,H06_101,H06_102,H06_103,H06_104,H06_105,H06_106,H06_107,H06_108,H06_109,H06_11,H06_110,H06_111,H06_112,H06_113,H06_114,H06_115,H06_116,H06_117,H06_12,H06_13,H06_14,H06_15,H06_16,H06_17,H06_18,H06_19,H06_20,H06_21,H06_22,H06_23,H06_24,H06_25,H06_26,H06_27,H06_28,H06_29,H06_30,H06_31,H06_32,H06_33,H06_34,H06_35,H06_36,H06_37,H06_38,H06_39,H06_40,H06_41,H06_42,H06_43,H06_44,H06_45,H06_46,H06_47,H06_48,H06_49,H06_50,H06_51,H06_52,H06_53,H06_54,H06_55,H06_56,H06_57,H06_58,H06_59,H06_60,H06_61,H06_62,H06_63,H06_64,H06_65,H06_66,H06_67,H06_68,H06_69,H06_70,H06_71,H06_72,H06_73,H06_74,H06_75,H06_76,H06_77,H06_78,H06_79,H06_80,H06_81,H06_82,H06_83,H06_84,H06_85,H06_86,H06_87,H06_88,H06_89,H06_90,H06_91,H06_92,H06_93,H06_94,H06_95,H06_96,H06_97,H06_98,H06_99,H07_01,H07_02,H07_03,H07_04,H07_05,H07_06,H07_07,H07_08,H07_09,H07_10,H07_11,H07_12,H07_13,H07_14,H07_15,H07_16,H07_17,H07_18,H07_19,H07_20,H07_21,H07_22,H07_23,H07_24,H07_25,H07_26,H07_27,H07_28,H07_29,H07_30,H07_31,H07_32,H07_33,H07_34,H07_35,H07_36,H07_37,H07_38,H07_39,H07_40,H07_41,H07_42,H07_43,H07_44,H07_45,H07_46,H07_47,H07_48,H07_49,H07_50,H07_51,H07_52,H07_53,H07_54,H07_55,H07_56,H07_57,H07_58,H07_59,H07_60,H07_61,H07_62,H07_63,H07_64,H07_65,H07_66,H07_67,H07_68,H07_69,H07_70,H07_71,H07_72,H07_73,H07_74,H07_75,H07_76,H07_77,H07_78,H07_79,H07_80,H07_81,H07_82,H07_83,H07_84,H07_85,H07_86,H07_87,H07_88,H07_89,H07_90,H07_91,H07_92,H07_93,H07_94,H07_95,H07_96,H07_97,H08_01,H08_02,H08_03,H08_04,H08_05,H08_06,H08_07,H08_08,H08_09,H08_10,H08_11,H08_12,H08_13,H08_14,H08_15,H08_16,H08_17,H08_18,H08_19,H08_20,H08_21,H08_22,H08_23,H08_24,H08_25,H08_26,H08_27,H08_28,H08_29,H08_30,H08_31,H08_32,H08_33,H08_34,H08_35,H08_36,H08_37,H08_38,H08_39,H08_40,H08_41,H08_42,H08_43,H08_44,H08_45,H08_46,H08_47,H08_48,H08_49,H08_50,H08_51,H08_52,H08_53,H08_54,H08_81_2023,H08_821a_2023,H08_821b_2023,H08_821c_2023,H08_822a_2023,H08_822b_2023,H08_822c_2023,H08_822d_2023,H08_822e_2023,H08_823a_2023,H08_823b_2023,H08_83a_2023,H09_01,H09_02,H09_03,H09_04,H09_05,H09_06,H09_07,H09_08,H09_09,H09_10,H09_11,H09_12,H09_13,H09_14,H09_15,H09_16,H09_17,H09_18,H09_19,H09_20,H09_21,H09_22,H09_23,H09_24,H09_25,H09_26,H09_27,H09_28,H09_29,H09_30,H09_31,H09_32,H09_33,H09_34,H09_35,H09_36,H09_37,H09_38,H09_39,H09_40,H09_41,H09_42,H09_43,H09_44,H09_45,H09_46,H09_47,H09_48,H11_01,H11_02,H11_03,H11_04,H11_05,H11_06,H11_07,H11_08
Archivo_EST-27A.xls,39A,FEBRERO,,69,102,46,,,,34,,29,8,43,,,,,,,,,,,,,,,1,,,,3,,5,,6,,,,3,,,,11,8,,,,,,,,,,,,,,,,,0,0,256,22,51,,451,118,,4,116,32,77,,7,5,4,1,2,,,,,,1,2,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,3,0,0,40,20,9,59,166,0,0,3,78,0,0,2,22,1,0,2,17,1,0,0,0,3,0,0,0,16,1,2,0,27,1,0,0,4,0,0,0,1,0,0,0,9,0,1,0,0,0,0,537,0,63,20,19,0,0,0,0,0,0,0,0,,,,,,,,,,,,,15,6,,,1,8,2,5,9,19,,3,,,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archivo_EST-28.xls,28,FEBRERO,,18,37,5,,,,20,,19,0,6,,0,,,,,,,,,1,,,,1,,1,,,,3,,,,,,,,,,13,,,,,,,,,,,,,,,,,,0,0,220,103,160,2,315,230,0,2,65,20,59,0,16,6,2,2,2,2,,,,,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,1,,,,,,1,,,,,,,,,,,2,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,11,1,1,10,36,4,38,80,0,0,3,7,0,0,0,0,6,0,4,1,4,0,0,2,19,0,1,1,46,0,8,0,77,1,3,0,6,0,0,0,9,0,0,0,8,0,0,0,0,0,0,387,6,7,18,6,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,10,,11,,15,,15,,0,,1,,4,,,,,,,,,,,,,,1,,,,,,,,,45,21,2,1,,,,3
Archivo_EST-29.xls,29,FEBRERO,,91,158,73,,,3,65,,50,3,88,0,0,,,,,,,,,,,,,,,,1,10,,,,32,,,,3,,,,5,2,,,,,,,,,,,,,,,,,0,0,252,2,51,2,678,249,4,2,209,89,119,0,4,1,2,0,0,0,0,0,0,0,3,0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8,0,1,4,0,0,3,0,6,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,1,3,,,,,,,,,,,23,,,,,,,5,2,,,,,,,,,,1,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,3,3,34,98,25,89,301,0,2,8,55,0,0,5,32,10,0,5,9,1,1,2,9,1,0,0,1,23,7,16,19,26,0,0,4,19,1,0,0,2,0,0,0,28,0,0,0,0,0,0,921,8,47,52,51,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,7,14,31,,,18,15,,,7,2,,,7,6,,,,,,,,,2,10,,,,,,,,,407,49,55,131,80,9,49,0
Archivo_EST-30.xls,30,FEBRERO,,65,119,0,0,0,0,55,0,55,0,0,0,0,,,,,,,,,2,,,,,,4,,7,,5,,3,,,,7,,,,27,,,,,,,,,,,,,,,,,,,,159,125,238,1,447,861,3,0,115,239,135,0,1,1,1,0,1,0,0,0,0,0,5,12,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,2,10,5,15,0,0,31,30,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,1,,,3,5,,,1,,,1,,7,7,,,,,1,,,2,2,,,,,,,,2,,,,,,,,,,,,,1,,8,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,8,2,5,65,66,20,45,192,0,0,0,16,0,0,0,0,4,1,8,8,3,2,9,7,22,1,0,0,69,10,16,3,33,2,3,0,2,0,0,0,5,0,0,0,19,0,0,0,1,0,0,633,33,35,51,0,0,0,0,0,0,0,0,0,,,,,,,,,3,1,,,1,1,2,2,3,9,8,4,4,4,,,9,9,,,,,,,,,,,,,1,1,,,,,,,,,171,,,,,1,,
Archivo_EST-31.xls,31,FEBRERO,,74,209,40,0,0,0,136,0,145,7,24,0,0,,,,,,,,,,,,,1,,5,,1,2,8,3,102,2,,,10,,,,16,,,,1,,,,,,1,,,,,,,,0,0,213,16,99,0,1012,574,5,21,395,179,94,0,10,,8,11,0,0,0,0,0,0,3,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,7,14,0,0,76,13,1,0,0,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,4,2,,,,,,,,3,5,,,,,,,,7,4,,,,,,1,,8,,,,,,,,,,,,,1,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,3,0,9,110,65,20,56,258,0,0,0,48,0,0,0,11,2,1,5,11,1,0,1,0,3,0,0,0,89,9,26,8,9,0,1,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-4,18,135,43,13,0,0,0,0,0,0,0,0,,,,,,,,,,1,,,,3,1,24,2,48,10,74,3,12,,,9,8,,,,,,1,,,,,,,2,9,,,,,,,,,24,,,2,1,,1,2
Archivo_EST-32.xls,32,FEBRERO,,75,204,24,,,,130,,71,,24,33,26,,,,,,,,,,,,,,,,,6,,20,,45,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,239,208,225,1,827,87,8,8,26,174,134,0,1,0,10,2,0,0,0,0,0,0,14,4,99,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,3,24,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,12,,,,,,,2,,12,,,,,,,20,,92,,,,,,1,3,7,,,,,,,,,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9,1,14,98,162,75,197,723,0,0,3,5,0,0,1,10,19,3,3,0,5,4,4,4,4,0,0,0,47,2,3,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484,9,174,2,13,0,0,0,0,0,0,0,0,,,,,,,,,2,,,,,,15,1,,,195,12,173,41,,,13,3,,,,,,,,,,,,,18,6,,,,,,,,,474,33,23,23,60,3,,4
Archivo_EST-33.xls,33,FEBRERO,,31,76,20,0,0,0,46,0,39,4,20,3,0,,,1,,,,,,,,,,,,1,,3,4,8,,3,,,,1,,,,20,,,,,,,,,,2,,,,,,,,0,0,311,12,12,31,698,366,3,0,0,104,75,0,1,1,5,7,0,0,0,0,0,0,2,4,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,4,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,1,,,3,1,3,,,,,,,,,1,13,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,2,23,39,22,46,155,0,0,0,1,0,0,0,9,4,0,3,4,10,0,2,1,9,0,0,0,19,2,3,1,93,1,1,3,8,0,0,0,2,0,0,0,12,0,0,0,0,0,0,506,8,36,21,11,0,0,0,0,0,0,0,0,,,,,,,,2,,,,,,1,,1,8,13,2,7,12,8,,,3,14,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,0,0,0
Archivo_EST-34.xls,34,FEBRERO,,104,190,139,,,,87,,67,,25,104,30,,,,,,,,,1,,,,2,,9,,,,5,,30,,2,,,,18,,,,,,,,,,,,,,,,,,,,0,0,437,1,5,1,613,327,22,57,159,92,243,0,8,5,17,3,,,,,,,7,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,8,3,4,0,0,10,12,35,0,0,0,0,0,0,0,1,,,,,,,,,,,5,1,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,1,,,,,,,,2,,,,,,,,,4,,,,,,,,1,,1,,,,,,,,,51,,,,,,1,,2,,,,,,,,,,,,,,,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11,2,6,31,30,19,101,315,0,0,0,21,0,0,0,19,0,0,0,0,0,0,0,0,14,0,0,0,85,7,9,1,4,1,0,0,10,2,1,0,70,0,0,0,11,0,0,0,107,107,3,850,48,106,29,6,0,0,0,0,0,0,0,0,,,,,,,,,,3,,,,6,3,8,,,6,3,,1,,,6,22,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Archivo_EST-34A.xlsx,34A,FEBRERO,,38,64,12,0,0,0,27,0,28,4,7,0,0,,,,,,,,,,,,,,,,,,,11,2,16,1,,,1,1,,,,,,,,,,,,,,,,,,,,,0,0,40,93,52,2,260,186,1,0,56,51,74,0,1,1,7,5,0,0,0,0,2,1,0,2,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,9,,,,,,,2,,26,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,3,3,20,4,3,26,163,0,0,0,3,0,0,0,4,0,0,1,7,0,0,1,12,1,2,0,0,2,1,3,2,6,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,299,12,49,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,1,4,1,,,3,,1,4,,,3,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,
Archivo_EST-35.xls,35,FEBRERO,,45,92,24,,,,48,,53,1,18,,0,,,,,,,,,,,,,1,,9,,,,9,,1,,,,5,,,,20,,,,,,,,,,8,1,,,,,,,0,0,2355,673,1188,,417,75,0,15,28,,112,,2,1,5,3,,,,,,,2,0,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,0,0,1,0,0,4,6,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,6,,,,,,,,,,,2,,,,,,,1,,1,2,,,,,,2,,,,,,,,,,,,,,,1,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9,4,2,23,58,15,25,126,0,0,0,44,0,,0,11,4,0,0,3,2,2,0,1,9,0,0,0,122,11,13,8,8,2,3,0,10,0,0,0,4,0,0,0,3,0,0,0,1,0,0,557,13,46,23,7,0,0,0,0,0,0,0,0,,,,,,1,,,,2,,,,4,,6,,,,7,,6,,,3,9,,,,,,1,,,,,,,2,1,,,,,,,,,9,0,3,1,,,,
Archivo_EST-36.xls,36,FEBRERO,,64,143,161,0,0,1,79,0,107,0,118,0,16,,,,,,,,,,,,,,,1,,10,,3,,68,,,,10,,,,15,,,,,,,,,,,,,,,,,,0,0,359,95,70,3,309,132,6,2,65,85,127,,1,1,4,1,,,,,,,1,1,8,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,3,,6,8,0,0,0,,0,4,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,6,,,,,,,,,,,8,,,,,,1,7,,,,,,,,,,,,,,1,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,6,18,155,70,153,455,0,1,9,47,0,0,10,79,11,4,4,2,1,0,0,0,2,0,0,0,37,7,3,2,37,1,1,1,10,1,1,0,1,0,0,0,51,4,0,0,2,0,0,1247,1,109,4,29,0,0,0,0,0,0,0,0,,3,,,,,,2,,,,,,1,,1,,12,,31,,4,,15,,10,,,,2,,,,1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Archivo_EST-37.xls,37,FEBRERO,,120,288,96,0,0,0,169,0,192,5,17,0,51,,,,,,,,,,,,,,,6,,4,1,18,,64,1,,,9,3,,,91,,,,,,,,,,,,,,,,,,0,0,605,0,0,10,955,365,6,2,278,104,160,0,2,2,12,2,1,0,0,0,0,0,11,0,23,1,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,3,7,5,14,2,0,2,0,1,49,11,2,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,7,,1,,,,1,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,2,,,,,,,,,4,,,2,,,2,2,1,,,,,,,,6,,22,,,,,1,1,5,1,,,,,,,,,,,,,1,7,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,23,4,10,102,93,34,52,263,3,2,7,56,0,0,0,11,12,0,1,29,8,1,0,9,2,1,1,0,148,13,66,10,38,2,6,1,6,1,5,1,6,0,0,0,17,1,0,3,0,0,0,1168,7,135,132,6,7,0,0,0,0,0,0,0,,,,,,,,,2,1,,,,,4,1,43,4,,,13,7,,,24,5,,,8,15,,,,,,,,,4,,,,,,,,,,,,,,0,0,0,0
Archivo_EST-38.xls,38,FEBRERO,,387,449,275,,,9,54,,110,,115,99,14,,,,,,,,,3,,,,4,,14,,12,,10,,39,,,,25,,,,2,,1,,,,,,,,,,,,,,,,0,0,202,12,805,0,701,460,3,60,151,86,88,1,4,1,19,2,2,0,0,0,0,0,5,2,24,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,4,1,2,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,4,,,1,,1,,,,,,,,,,,2,,8,1,,,,,1,,,18,,,,,,1,,2,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9,3,5,32,57,24,59,187,0,1,1,3,0,0,1,46,1,2,2,4,5,2,1,2,9,4,1,0,68,12,14,2,17,0,1,3,5,0,0,0,7,0,0,0,13,1,1,0,0,1,0,950,7,286,11,68,3,1,0,2,22,10,6,0,,2,,,,,2,1,,,,,2,8,5,24,6,15,10,28,10,25,,,3,16,,,9,,,7,,,,,,,,2,,,,,,,,,,,,,0,0,0,0
Archivo_EST-39.xls,39,FEBRERO,,33,54,106,,,,22,,12,1,115,,0,,,,,,,,,2,,,,,,,,2,,1,,5,1,,,1,,,,1,,,,,,,,,,,,,,,,,,0,0,199,150,15,,505,339,4,9,96,62,63,,1,2,10,3,1,1,,,,,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,8,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,1,2,,3,,,,,,,1,,5,,,,,,2,9,,,,,,,,,,,,,,1,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,2,5,22,196,53,120,296,0,1,7,90,0,0,2,82,4,2,1,0,4,0,4,2,2,0,0,0,35,1,6,2,97,0,0,0,14,0,0,0,6,0,0,0,15,0,0,0,0,0,0,1080,1,16,6,31,0,0,0,0,0,0,0,0,,,,,,,,,,1,,,,,2,7,1,49,3,18,3,14,,,,20,,,,4,,,,1,,,,,,1,,,,,,,,,,,,,,,,
Archivo_EST-40.xls,40,FEBRERO,,132,273,0,0,0,0,142,0,124,0,17,0,1,,,,,,,,,,,,,,,,,8,,22,,3,,,,45,,,,46,,,,,,,,,,,,,,,,,,0,0,106,5,6,0,1024,512,1,2,6,378,163,0,2,3,4,12,6,0,0,0,0,0,2,2,25,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,3,7,0,0,0,0,2,25,6,0,0,0,0,0,0,0,0,11,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,1,,,,1,,2,,22,,,,,,,5,,1,,,1,,1,,,,,,,,,,,,,,,,1,3,11,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,5,1,7,51,63,21,62,290,1,0,3,119,0,0,0,0,3,4,29,0,1,3,2,24,1,1,1,0,74,14,8,1,29,22,0,1,7,0,0,0,3,0,0,0,10,0,0,0,2,0,0,1042,17,134,104,17,0,0,0,0,0,0,0,0,,,,,,,,2,,,,,1,1,1,3,4,23,5,30,1,12,,,6,12,,,11,10,,,,,,,,,,6,,,,,,,,,177,,,,19,0,5,
Archivo_EST-41.xls,41,FEBRERO,,45,112,85,0,0,0,68,0,40,8,41,,64,,,,,,,,,,,,,,,1,,2,2,4,1,27,1,,,5,1,,,1,3,,,,,,,,,,,,,,,,,,,507,25,301,4,474,284,2,5,52,54,105,0,1,1,4,14,0,0,0,0,0,0,13,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,6,,,1,,1,1,,,3,,,,,,,3,,6,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9,5,2,11,128,61,116,267,0,1,0,20,0,0,1,34,11,6,3,2,15,4,6,9,2,0,0,0,86,11,8,0,46,1,0,0,3,1,0,0,2,0,0,0,45,1,1,1,0,0,0,956,0,41,1,70,0,0,0,0,0,0,0,0,,,,,,,,,,1,,,,,5,8,5,23,3,27,1,7,,,2,8,,,,3,,,,,,,,,1,4,,,,,,,,,,,,,0,0,,
Archivo_EST-42.xls,42,FEBRERO,,350,428,158,0,0,0,79,0,45,27,165,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,8,10,7,22,7,0,0,4,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,85,998,3,840,585,6,28,235,80,139,0,0,0,6,1,0,0,0,0,0,0,2,5,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,5,2,1,19,0,0,0,2,9,0,0,2,0,0,3,0,11,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,1,,,,,5,4,8,2,,,1,,,,,7,24,,,,,,1,2,7,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,3,3,45,67,36,69,195,0,0,1,1,0,0,4,50,2,6,5,7,1,3,3,1,9,1,1,0,49,9,9,1,15,0,1,0,12,4,1,0,2,0,0,0,20,1,3,1,0,0,0,957,24,241,17,111,6,6,0,4,5,0,2,0,,,,,,,,,1,8,,,1,,7,,11,20,17,2,6,6,,,14,16,,,1,,,,,,,,,,2,6,,,,,,,,,232,0,35,4,18,2,2,3
